OBJECTID,Distance,BUFF_DIST,FID_LACountyCensusTract2010_Project,OBJECTID_1,GEOID10,CT10,LABEL,Shape__Are,Shape__Len,CT10Long,AreaSq,CT_Long,Shape_Length,Shape_Area
1,1,5280,1278,1279,06037302506,302506,3025.06,1325897.344,5541.124875,302506,0.3497431759,302506,1548.942993,7297.532611
2,1,5280,1279,1280,06037302505,302505,3025.05,784885.2578,5866.754844,302505,0.2070438213,302505,5439.547908,1705341.368
3,1,5280,1299,1300,06037185204,185204,1852.04,1409153.504,6398.86942,185204,0.3719255309,185204,14701.4102,9652946.348
4,1,5280,1300,1301,06037185203,185203,1852.03,801215.4688,4404.332306,185203,0.2114836726,185203,11951.01207,5898482.229
5,1,5280,1307,1308,06037186301,186301,1863.01,1699898.855,6597.626244,186301,0.4484632255,186301,15220.67583,8791628.86
6,1,5280,1322,1323,06037302401,302401,3024.01,2006166.02,6642.084155,302401,0.529152023,302401,963.5995789,19934.00396
7,1,5280,1361,1362,06037185100,185100,1851.00,3331004.828,9402.612418,185100,0.879123679,185100,4545.79386,325816.7188
8,1,5280,1362,1363,06037185202,185202,1852.02,1762649.125,6417.97585,185202,0.465309688,185202,14921.43302,7752637.806
9,1,5280,1363,1364,06037185310,185310,1853.10,615533.9375,4482.889798,185310,0.1625019379,185310,11132.2629,4306940.245
10,1,5280,1368,1369,06037187300,187300,1873.00,1707175.645,7149.200519,187300,0.4506057651,187300,17044.12676,11561322.9
11,1,5280,1370,1371,06037187200,187200,1872.00,1391803.816,5734.517172,187200,0.367348102,187200,15559.23753,10245595.56
12,1,5280,1393,1394,06037186401,186401,1864.01,1405630.824,6591.701617,186401,0.3708733309,186401,17619.09138,10310686.05
13,1,5280,1394,1395,06037187102,187102,1871.02,3213111.023,14156.63867,187102,0.8480468415,187102,59273.19919,19170578.8
14,1,5280,1471,1472,06037195100,195100,1951.00,2771269.41,8009.112648,195100,0.7314886504,195100,7381.23914,2302537.432
15,1,5280,1473,1474,06037188201,188201,1882.01,1135408.227,6278.870522,188201,0.2996195407,188201,1500.911708,60800.59282
16,1,5280,1474,1475,06037187101,187101,1871.01,1152654.43,4761.546111,187101,0.3041426353,187101,12166.25039,7578287.272
17,1,5280,1475,1476,06037186404,186404,1864.04,586592.8203,3270.856771,186404,0.1548097165,186404,8867.001323,4317771.96
18,1,5280,1476,1477,06037186403,186403,1864.03,789875.2656,4424.920504,186403,0.2084342897,186403,11994.90559,5813382.776
19,1,5280,1477,1478,06037186302,186302,1863.02,2465362.223,6607.538901,186302,0.6505494182,186302,15222.95558,12700786.89
20,1,5280,1480,1481,06037185320,185320,1853.20,862235,5237.618517,185320,0.2276524276,185320,14192.50767,6343401.072
21,1,5280,1488,1489,06037197410,197410,1974.10,2037513.938,6831.549913,197410,0.5379056752,197410,17085.73789,13208173.62
22,1,5280,1490,1491,06037197300,197300,1973.00,956123.3555,5609.812422,197300,0.2524872891,197300,5598.251722,1453581.982
23,1,5280,1491,1492,06037197200,197200,1972.00,1139507.691,5474.487182,197200,0.3008457913,197200,14854.52644,8390897.06
24,1,5280,1538,1539,06037188300,188300,1883.00,1349928.797,4679.88849,188300,0.3561523224,188300,4003.291197,185350.581
25,1,5280,1597,1598,06037197420,197420,1974.20,899655.8047,4285.298145,197420,0.2375648761,197420,136.4026329,583.2002731
26,1,5280,1599,1600,06037199000,199000,1990.00,2280659.93,7017.454301,199000,0.6022667984,199000,5897.375792,313675.9779
27,1,5280,1603,1604,06037980010,980010,9800.10,5598769.75,13482.87485,980010,1.478518167,980010,20461.76564,17620600.38
