,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OBJECTID,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,VULEOPCT,MINORPOP,MINORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D_PM25_2,D_OZONE_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_LDPNT_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_UST_2,D_PWDIS_2,P_VULEOPCT,P_MINORPCT,P_LWINCPCT,P_UNEMPPCT,P_LNGISPCT,P_LESHSPCT,P_UNDR5PCT,P_OVR64PCT,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_PM25_D2,P_OZONE_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_LDPNT_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_UST_D2,P_PWDIS_D2,B_VULEOPCT,B_MINORPCT,B_LWINCPCT,B_UNEMPPCT,B_LESHSPCT,B_LNGISPCT,B_UNDR5PCT,B_OVR64PCT,B_PM25,B_OZONE,B_DSLPM,B_CANCR,B_RESP,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_PM25_D2,B_OZONE_D2,B_DSLPM_D2,B_CANCR_D2,B_RESP_D2,B_PTRAF_D2,B_LDPNT_D2,B_PNPL_D2,B_PRMP_D2,B_PTSDF_D2,B_UST_D2,B_PWDIS_D2,T_VULEOPCT,T_MINORPCT,T_LWINCPCT,T_UNEMPPCT,T_LNGISPCT,T_LESHSPCT,T_UNDR5PCT,T_OVR64PCT,T_PM25,T_OZONE,T_DSLPM,T_CANCR,T_RESP,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_PM25_D2,T_OZONE_D2,T_DSLPM_D2,T_CANCR_D2,T_RESP_D2,T_PTRAF_D2,T_LDPNT_D2,T_PNPL_D2,T_PRMP_D2,T_PTSDF_D2,T_UST_D2,T_PWDIS_D2,EXCEED_COUNT_80,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,Shape_Length,Shape_Area
0,0,0,0,0,0,0,0,5584,5585,06037101110,California,CA,Los Angeles,9,3923.0,,,,,,0.328683927635593,,0.390007647208768,,0.267360208062418,,0.052405907575036,,0.121594684385382,,0.100432324575989,,0.050726484833036,,0.178944685189905,10.3934504109589,60.7813078431373,0.192273907233785,30.0,0.4,1702.32834321882,,0.548802946593001,0.106837520496563,0.244237480954981,0.795921764531263,0.0,,9.203149973796604,27.280765993754216,7.888414263254232,24.651294572669475,21.364455296313544,24.97997850030507,25.966030283211847,19.72103565813558,9.531833901432195,5.258942842169488,0.0,,30.0,24.0,51.0,46.0,73.0,44.0,40.0,71.0,28.0,83.0,24.0,75.0,65.0,76.0,79.0,60.0,29.0,16.0,0.0,,29.0,63.0,24.0,37.0,39.0,60.0,61.0,50.0,28.0,17.0,0.0,,4.0,3.0,6.0,5.0,5.0,8.0,5.0,8.0,3.0,9.0,3.0,8.0,7.0,8.0,8.0,7.0,3.0,2.0,1.0,0.0,3.0,7.0,3.0,4.0,4.0,7.0,7.0,6.0,3.0,2.0,1.0,0.0,30 %ile,24 %ile,51 %ile,46 %ile,73 %ile,44 %ile,40 %ile,71 %ile,28 %ile,83 %ile,24 %ile,75 %ile,65 %ile,76 %ile,79 %ile,60 %ile,29 %ile,16 %ile,0 %ile,,29 %ile,63 %ile,24 %ile,37 %ile,39 %ile,60 %ile,61 %ile,50 %ile,28 %ile,17 %ile,0 %ile,,,,,,,5565.411336664747,1676518.641903717
1,1,1,1,1,1,1,1,5585,5586,06037101122,California,CA,Los Angeles,9,4119.0,,,,,,0.169029468039481,,0.233066278222869,,0.104992657856093,,0.091823349365982,,0.026099925428784,,0.144862795149968,,0.024277737314882,,0.212915756251517,10.2903084931507,61.2185751633987,0.17513422315678,30.0,0.4,320.03312568263,,0.41678520625889,0.097973489211898,0.222079328833365,0.693244920101159,0.0,,4.563795637065986,14.198475315316404,3.549618828829101,12.677210102961077,10.986915422566264,7.268267125697682,11.494003826684708,9.465650210210937,4.394766169026505,2.535442020592215,0.0,,5.0,8.0,14.0,80.0,27.0,56.0,10.0,82.0,27.0,84.0,21.0,75.0,65.0,43.0,68.0,56.0,26.0,15.0,0.0,,15.0,38.0,12.0,19.0,20.0,21.0,33.0,29.0,15.0,9.0,0.0,,1.0,1.0,2.0,9.0,6.0,3.0,2.0,9.0,3.0,9.0,3.0,8.0,7.0,5.0,7.0,6.0,3.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,5 %ile,8 %ile,14 %ile,80 %ile,27 %ile,56 %ile,10 %ile,82 %ile,27 %ile,84 %ile,21 %ile,75 %ile,65 %ile,43 %ile,68 %ile,56 %ile,26 %ile,15 %ile,0 %ile,,15 %ile,38 %ile,12 %ile,19 %ile,20 %ile,21 %ile,33 %ile,29 %ile,15 %ile,9 %ile,0 %ile,,,,,,,11695.30439453742,3881000.490928559
2,2,2,2,2,2,2,2,5586,5587,06037101220,California,CA,Los Angeles,9,3775.0,,,,,,0.454172185430463,,0.560529801324503,,0.347814569536423,,0.111551809618244,,0.211888111888111,,0.226160029229082,,0.033377483443709,,0.141986754966887,10.474264109589,60.4709562091503,0.246009535649344,30.0,0.4,28.506190302001,,0.517099863201094,0.107419513366454,0.193899696724631,1.51315170792178,0.0,,13.170993377483429,37.696291390728426,16.350198675496667,34.062913907284724,29.52119205298009,4.995894039735093,34.51708609271519,27.25033112582778,9.991788079470188,10.900132450331112,0.0,,51.0,42.0,65.0,88.0,89.0,71.0,17.0,53.0,29.0,83.0,36.0,75.0,65.0,11.0,76.0,60.0,22.0,24.0,0.0,,38.0,78.0,43.0,53.0,52.0,15.0,72.0,61.0,29.0,31.0,0.0,,6.0,5.0,7.0,9.0,8.0,9.0,2.0,6.0,3.0,9.0,4.0,8.0,7.0,2.0,8.0,7.0,3.0,3.0,1.0,0.0,4.0,8.0,5.0,6.0,6.0,2.0,8.0,7.0,3.0,4.0,1.0,0.0,51 %ile,42 %ile,65 %ile,88 %ile,89 %ile,71 %ile,17 %ile,53 %ile,29 %ile,83 %ile,36 %ile,75 %ile,65 %ile,11 %ile,76 %ile,60 %ile,22 %ile,24 %ile,0 %ile,,38 %ile,78 %ile,43 %ile,53 %ile,52 %ile,15 %ile,72 %ile,61 %ile,29 %ile,31 %ile,0 %ile,,,,,,,4688.607305279976,1025452.0870476888
3,3,3,3,3,3,3,3,5587,5588,06037101221,California,CA,Los Angeles,9,3787.0,,,,,,0.452096039861231,,0.465011882756799,,0.439180196965664,,0.064793577981651,,0.360211500330469,,0.259148618371919,,0.033007657776604,,0.15104304198574,10.4657180821918,60.4767006535948,0.234878883105858,30.0,0.4,366.223122053225,,0.271857051691129,0.111106544042193,0.236479741178685,0.886912354982916,0.0,,13.110785155975712,37.52397130848221,14.91916931542064,33.90720298959236,29.386242590980046,20.796417833616648,23.96109011264528,27.57785843153512,12.65868911611448,7.685632677640935,0.0,,51.0,32.0,77.0,60.0,97.0,76.0,17.0,58.0,29.0,83.0,33.0,75.0,65.0,46.0,53.0,61.0,28.0,17.0,0.0,,38.0,78.0,40.0,53.0,52.0,52.0,58.0,62.0,35.0,23.0,0.0,,6.0,4.0,8.0,7.0,8.0,11.0,2.0,6.0,3.0,9.0,4.0,8.0,7.0,5.0,6.0,7.0,3.0,2.0,1.0,0.0,4.0,8.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,3.0,1.0,0.0,51 %ile,32 %ile,77 %ile,60 %ile,97 %ile,76 %ile,17 %ile,58 %ile,29 %ile,83 %ile,33 %ile,75 %ile,65 %ile,46 %ile,53 %ile,61 %ile,28 %ile,17 %ile,0 %ile,,38 %ile,78 %ile,40 %ile,53 %ile,52 %ile,52 %ile,58 %ile,62 %ile,35 %ile,23 %ile,0 %ile,,,,,,,3378.82397967241,519705.6707810594
4,4,4,4,4,4,4,4,5588,5589,06037101222,California,CA,Los Angeles,9,2717.0,,,,,,0.56348914243651,,0.460434302539565,,0.666543982333456,,0.109129814550641,,0.26109391124871,,0.186325678496868,,0.08317997791682,,0.14942951785057,10.4657180821918,60.4767006535948,0.234878883105858,30.0,0.4,65.004274513669,,0.356997971602434,0.110726072087289,0.215774715977683,1.04385309974719,0.0,,16.341185130658804,46.76959882223037,18.595141700404845,42.26168568273829,36.62679425837318,10.7062937062937,34.93632683106365,34.37283768862714,14.087228560912765,10.7062937062937,0.0,,68.0,31.0,96.0,87.0,93.0,65.0,81.0,58.0,29.0,83.0,33.0,75.0,65.0,19.0,62.0,61.0,25.0,19.0,0.0,,44.0,87.0,48.0,66.0,64.0,30.0,72.0,70.0,39.0,30.0,0.0,,7.0,4.0,11.0,9.0,7.0,10.0,9.0,6.0,3.0,9.0,4.0,8.0,7.0,2.0,7.0,7.0,3.0,2.0,1.0,0.0,5.0,9.0,5.0,7.0,7.0,4.0,8.0,8.0,4.0,4.0,1.0,0.0,68 %ile,31 %ile,96 %ile,87 %ile,93 %ile,65 %ile,81 %ile,58 %ile,29 %ile,83 %ile,33 %ile,75 %ile,65 %ile,19 %ile,62 %ile,61 %ile,25 %ile,19 %ile,0 %ile,,44 %ile,87 %ile,48 %ile,66 %ile,64 %ile,30 %ile,72 %ile,70 %ile,39 %ile,30 %ile,0 %ile,,,,,,,3685.233325702304,435061.8789933217
5,5,5,5,5,5,5,5,5589,5590,06037101300,California,CA,Los Angeles,9,3741.0,,,,,,0.175892162835827,,0.195669607056936,,0.156114718614718,,0.048821548821549,,0.096546863988724,,0.091833492214808,,0.020048115477145,,0.278535151029136,10.4857454794521,60.464198039215695,0.244216143510136,30.0,0.4,296.295847125235,,0.590384615384615,0.108234785156181,0.159991876329744,1.7428299591675,0.0,,5.100872722238983,14.59904951537364,6.156225699253945,13.191912212687026,11.432990584328756,7.211578676268908,14.59904951537364,10.55352977014962,2.638382442537405,4.74908839656733,0.0,,6.0,5.0,27.0,42.0,65.0,41.0,7.0,93.0,29.0,83.0,35.0,75.0,65.0,41.0,83.0,60.0,15.0,27.0,0.0,,17.0,39.0,19.0,20.0,21.0,21.0,41.0,32.0,10.0,15.0,0.0,,1.0,1.0,3.0,5.0,5.0,7.0,1.0,10.0,3.0,9.0,4.0,8.0,7.0,5.0,9.0,7.0,2.0,3.0,1.0,0.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,1.0,0.0,6 %ile,5 %ile,27 %ile,42 %ile,65 %ile,41 %ile,7 %ile,93 %ile,29 %ile,83 %ile,35 %ile,75 %ile,65 %ile,41 %ile,83 %ile,60 %ile,15 %ile,27 %ile,0 %ile,,17 %ile,39 %ile,19 %ile,20 %ile,21 %ile,21 %ile,41 %ile,32 %ile,10 %ile,15 %ile,0 %ile,,,,,,,10858.70601446166,3786000.7084260494
6,6,6,6,6,6,6,6,5590,5591,06037101400,California,CA,Los Angeles,9,3246.0,,,,,,0.285190090485155,,0.30468268638324,,0.26569749458707,,0.065743944636678,,0.135479041916167,,0.105671154630762,,0.060998151571164,,0.205483672211953,10.6075671232877,59.9022575163399,0.252045154704036,30.0,0.4,619.537255599533,,0.445736434108527,0.11807475176117,0.218395023955599,1.37333343267922,0.0,,8.840892805039804,23.38558741978271,10.552033347950736,21.389256786386625,18.53735588153508,15.97064506716868,19.963306333960848,18.25216579104992,7.414942352614029,6.27418199067341,0.0,,23.0,15.0,51.0,61.0,77.0,46.0,56.0,80.0,31.0,82.0,37.0,75.0,65.0,56.0,70.0,64.0,26.0,22.0,0.0,,28.0,57.0,31.0,32.0,34.0,42.0,52.0,48.0,23.0,20.0,0.0,,3.0,2.0,6.0,7.0,5.0,8.0,6.0,9.0,4.0,9.0,4.0,8.0,7.0,6.0,8.0,7.0,3.0,3.0,1.0,0.0,3.0,6.0,4.0,4.0,4.0,5.0,6.0,5.0,3.0,3.0,1.0,0.0,23 %ile,15 %ile,51 %ile,61 %ile,77 %ile,46 %ile,56 %ile,80 %ile,31 %ile,82 %ile,37 %ile,75 %ile,65 %ile,56 %ile,70 %ile,64 %ile,26 %ile,22 %ile,0 %ile,,28 %ile,57 %ile,31 %ile,32 %ile,34 %ile,42 %ile,52 %ile,48 %ile,23 %ile,20 %ile,0 %ile,,,,,,,15739.593998556007,9256640.495052692
7,7,7,7,7,7,7,7,5591,5592,06037102103,California,CA,Los Angeles,9,1920.0,,,,,,0.275,,0.25,,0.3,,0.079520697167756,,0.10407876230661,,0.027798098024872,,0.092708333333333,,0.1265625,10.861555890411,58.382487581699294,0.293546342537232,30.0,0.5,1970.19338571312,,0.615186615186615,0.254289683940241,1.35606919850276,8.14609358155589,0.0,0.005458478135845,9.35,21.725,12.65,20.625,25.3,21.725,23.375000000000004,23.925,20.075000000000003,20.9,0.0,11.275,21.0,10.0,57.0,73.0,68.0,12.0,88.0,44.0,34.0,79.0,46.0,75.0,92.0,79.0,85.0,87.0,73.0,76.0,0.0,41.0,29.0,54.0,35.0,31.0,45.0,54.0,58.0,57.0,50.0,51.0,0.0,32.0,3.0,2.0,6.0,8.0,2.0,7.0,9.0,5.0,4.0,8.0,5.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,1.0,5.0,3.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,1.0,4.0,21 %ile,10 %ile,57 %ile,73 %ile,68 %ile,12 %ile,88 %ile,44 %ile,34 %ile,79 %ile,46 %ile,75 %ile,92 %ile,79 %ile,85 %ile,87 %ile,73 %ile,76 %ile,0 %ile,41 %ile,29 %ile,54 %ile,35 %ile,31 %ile,45 %ile,54 %ile,58 %ile,57 %ile,50 %ile,51 %ile,0 %ile,32 %ile,,,,,,6028.7515225891975,1739800.3702772355
8,8,8,8,8,8,8,8,5592,5593,06037102104,California,CA,Los Angeles,9,4187.0,,,,,,0.304341124714829,,0.311917840936231,,0.296764408493427,,0.075012419274714,,0.067910447761194,,0.087828947368421,,0.055887270121806,,0.188440410795318,10.9698964383562,57.93880261437911,0.297162781281413,40.0,0.5,2270.55090214434,,0.261735419630156,0.360482027530032,1.63112033736875,7.89342857802267,0.0,0.002815848830659,10.651939365019016,23.738607727756666,14.304032861596962,29.82543022205324,27.99938347376427,24.65163110190115,15.825738485171108,27.69504234904944,23.738607727756666,22.82558435361217,0.0,11.260621614448672,26.0,16.0,56.0,69.0,52.0,40.0,48.0,75.0,35.0,78.0,47.0,98.0,92.0,81.0,52.0,91.0,78.0,75.0,0.0,37.0,32.0,58.0,39.0,46.0,49.0,59.0,44.0,62.0,57.0,55.0,0.0,32.0,3.0,2.0,6.0,7.0,5.0,6.0,5.0,8.0,4.0,8.0,5.0,11.0,10.0,9.0,6.0,10.0,8.0,8.0,1.0,4.0,4.0,6.0,4.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,1.0,4.0,26 %ile,16 %ile,56 %ile,69 %ile,52 %ile,40 %ile,48 %ile,75 %ile,35 %ile,78 %ile,47 %ile,98 %ile,92 %ile,81 %ile,52 %ile,91 %ile,78 %ile,75 %ile,0 %ile,37 %ile,32 %ile,58 %ile,39 %ile,46 %ile,49 %ile,59 %ile,44 %ile,62 %ile,57 %ile,55 %ile,0 %ile,32 %ile,,,,,,10170.017240862191,2431516.132931485
9,9,9,9,9,9,9,9,5593,5594,06037102105,California,CA,Los Angeles,9,1797.0,,,,,,0.514190317195325,,0.769616026711185,,0.258764607679465,,0.066151202749141,,0.086556169429098,,0.188805970149253,,0.085698386199221,,0.116304952698942,11.0387008219178,57.5216405228758,0.309835768582554,40.0,0.5,6451.70462520823,,0.657342657342657,0.453966783994984,1.6116117208033,11.6382051375292,0.0,0.003936861621585,18.510851419031702,40.10684474123536,25.195325542570927,50.390651085141855,47.3055091819699,48.84808013355588,44.73455759599328,47.81969949916523,40.10684474123536,44.73455759599328,0.0,20.05342237061768,60.0,64.0,49.0,61.0,61.0,65.0,84.0,38.0,36.0,78.0,49.0,98.0,92.0,95.0,87.0,93.0,78.0,87.0,0.0,39.0,48.0,81.0,59.0,77.0,79.0,88.0,82.0,85.0,76.0,83.0,0.0,52.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,4.0,4.0,8.0,5.0,11.0,10.0,11.0,9.0,10.0,8.0,9.0,1.0,4.0,5.0,9.0,6.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,1.0,6.0,60 %ile,64 %ile,49 %ile,61 %ile,61 %ile,65 %ile,84 %ile,38 %ile,36 %ile,78 %ile,49 %ile,98 %ile,92 %ile,95 %ile,87 %ile,93 %ile,78 %ile,87 %ile,0 %ile,39 %ile,48 %ile,81 %ile,59 %ile,77 %ile,79 %ile,88 %ile,82 %ile,85 %ile,76 %ile,83 %ile,0 %ile,52 %ile,,,,,,3676.706533782825,722302.5446610985
