geoid,name,population,value,percentile,numerator,denominator
06013370000,3700,2850,0.722803679885899,0.895121951219512,,
06001442301,4423.01,5496,0.359195095892949,0.701412066752246,,
06037405101,4051.01,5617,-0.145520542461662,0.40410783055199,,
06037199800,1998,5828,-0.576625091578359,0.1801026957638,,
06037291300,2913,3037,0.221186743609454,0.616816431322208,,
06037292000,2920,6567,-0.493374673491689,0.217586649550706,,
06037604002,6040.02,4856,-0.22418564336777,0.357894736842105,,
06037920035,9200.35,6895,-0.224966700200472,0.357381258023107,,
06029002804,28.04,2510,0.0706484574855537,0.531322207958922,,
06107001800,18,4608,-0.151153485629776,0.400770218228498,,
06037402101,4021.01,5558,-0.412915976160007,0.258536585365854,,
06037542602,5426.02,5934,-0.641185156614262,0.147368421052632,,
06075020900,209,4597,0.81537800873071,0.927214377406932,,
06075021000,210,4523,1.1763845367735,0.987676508344031,,
06013302005,3020.05,7290,-0.29371419705208,0.322721437740693,,
06045011300,113,5673,-0.290138928333634,0.326059050064185,,
06045010900,109,4989,-0.349524569595499,0.291142490372272,,
06045010100,101,2674,-0.98555306998619,0.0465982028241335,,
06067007104,71.04,8397,0.729584337232817,0.897560975609756,,
06085512042,5120.42,3020,0.121242310721907,0.562259306803594,,
06085503306,5033.06,4373,-0.0716887339621934,0.445956354300385,,
06111001503,15.03,5106,-0.483239647474752,0.222464698331194,,
06099003605,36.05,8068,-0.245078854070871,0.347753530166881,,
06071003603,36.03,3938,-0.154649026135628,0.398587933247754,,
06037503103,5031.03,5204,-0.504527218314131,0.212451861360719,,
06113010606,106.06,7745,0.340310215012446,0.688575096277279,,
06053013600,136,4679,-0.32789558848012,0.303722721437741,,
06065044402,444.02,5266,-0.608976341395758,0.163286264441592,,
06071001901,19.01,4664,0.370128839129093,0.710141206675225,,
06073008330,83.30,5271,0.70919181804688,0.890243902439024,,
06031000300,3,6858,-0.958926745481611,0.0510911424903723,,
06053012100,121,2113,0.565205642114236,0.822079589216945,,
06037209510,2095.10,3076,-1.16455860431343,0.017586649550706,,
06095250501,2505.01,2189,0.0122104805710207,0.496662387676508,,
06059074108,741.08,4939,-0.25362746414192,0.343645699614891,,
06065042714,427.14,3519,0.320855809548649,0.678433889602054,,
06037267501,2675.01,5993,0.124660528012474,0.565083440308087,,
06037294520,2945.20,3710,-0.488619123143799,0.219512195121951,,
06059076202,762.02,6159,0.169979874684033,0.588318356867779,,
06079010701,107.01,5437,0.376483231540492,0.714120667522465,,
06073007908,79.08,3726,0.467126417286331,0.770346598202824,,
06067008512,85.12,4552,0.811740892286324,0.925930680359435,,
06007003300,33,4083,-0.552403799654093,0.190243902439024,,
06037310602,3106.02,2853,0.343596597962344,0.691270860077022,,
06037269904,2699.04,3927,0.368691119683762,0.709242618741977,,
06037571503,5715.03,3878,0.122867907042666,0.563286264441592,,
06073014901,149.01,4086,0.185667223610036,0.594736842105263,,
06073011601,116.01,5470,-0.485436775508809,0.221437740693196,,
06037183820,1838.20,3445,-0.611391745492824,0.162002567394095,,
06037197300,1973,4052,0.0817572211890727,0.537612323491656,,
06111007202,72.02,4446,0.743806496028565,0.903209242618742,,
06067000400,4,3933,0.704828032391084,0.88793324775353,,
06073005900,59,3344,0.225943923955927,0.6198973042362,,
06037204920,2049.20,2751,-0.903626954432975,0.0645699614890886,,
06073007905,79.05,2659,0.463105733983479,0.768421052631579,,
06037404202,4042.02,4252,-0.377045753186466,0.277150192554557,,
06037462002,4620.02,4043,-0.776037603230062,0.0975609756097561,,
